Name;SpecCode;SAU_functional_group;DemersPelag_fishbase;Func_group
Acanthochaenus luetkenii;609046;NA;benthopelagic;Benthopelagic
Acanthocybium solandri;600089;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Acanthopagrus australis;608109;NA;demersal;Demersal
Acanthopagrus bifasciatus;604543;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Acanthopagrus butcheri;614601;NA;demersal;Demersal
Acanthurus blochii;604750;NA;reef-associated;Reef
Acanthurus dussumieri;601256;NA;reef-associated;Reef
Acanthurus nigricans;606011;NA;reef-associated;Reef
Acanthurus nigrofuscus;604739;NA;reef-associated;Reef
Acanthurus xanthopterus;601261;NA;reef-associated;Reef
Achoerodus gouldii;614420;NA;reef-associated;Reef
Acipenser brevirostrum;602590;NA;demersal;Demersal
Acipenser medirostris;602592;NA;demersal;Demersal
Acipenser schrenckii;606085;NA;demersal;Demersal
Acipenser stellatus;602065;NA;demersal;Demersal
Acipenser sturio;602066;NA;demersal;Demersal
Acipenser transmontanus;602594;NA;demersal;Demersal
Agonus cataphractus;600036;NA;demersal;Demersal
Albatrossia pectoralis;608435;NA;bathydemersal;Bathydemersal
Aldrichetta forsteri;612938;NA;demersal;Demersal
Alectis indica;600010;NA;reef-associated;Reef
Alepocephalus bairdii;600230;Large Bathydemersals (>=90 cm);bathydemersal;Bathydemersal
Alepocephalus rostratus;605071;Medium Bathydemersals (30 - 90 cm);bathydemersal;Bathydemersal
Allocareproctus jordani;624122;NA;bathydemersal;Bathydemersal
Alosa caspia caspia;601577;NA;pelagic-neritic;Pelagic
Alosa fallax;605355;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Alosa immaculata;600105;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Alosa kessleri;601580;NA;pelagic-oceanic;Pelagic
Ambiserrula jugosa;652300;NA;demersal;Demersal
Amblygaster sirm;601501;NA;reef-associated;Reef
Amblyraja radiata;602565;NA;demersal;Ray
Ammodytes americanus;603820;NA;demersal;Demersal
Ammodytes dubius;603821;NA;demersal;Demersal
Ammodytes hexapterus;603822;NA;benthopelagic;Demersal
Ammodytes personatus;600487;Small Demersals (<30 cm);demersal;Demersal
Anarhichas lupus;602501;Large Demersals (>=90 cm);demersal;Demersal
Anchoa mitchilli;600545;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Anguilla anguilla;600035;NA;demersal;Demersal
Anguilla mossambica;601276;NA;demersal;Demersal
Anoplopoma fimbria;600512;Large Bathydemersals (>=90 cm);bathydemersal;Bathydemersal
Antimora rostrata;602005;Medium Bathypelagics (30 - 90 cm);bathypelagic;Bathypelagic
Aphanius fasciatus;604834;NA;demersal;Demersal
Aphia minuta;600039;NA;pelagic-neritic;Pelagic
Archosargus probatocephalus;600441;Large Demersals (>=90 cm);reef-associated;Demersal
Archosargus rhomboidalis;601219;NA;reef-associated;Reef
Argentina silus;602700;Medium Bathydemersals (30 - 90 cm);bathydemersal;Bathydemersal
Argyrops filamentosus;604541;NA;reef-associated;Reef
Argyrops spinifer;600442;Medium Demersals (30 - 90 cm);demersal;Demersal
Argyrosomus inodorus;617270;NA;benthopelagic;Benthopelagic
Argyrosomus japonicus;611979;NA;benthopelagic;Benthopelagic
Argyrosomus regius;600418;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Argyrozona argyrozona;600443;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Arius latiscutatus;604929;NA;demersal;Demersal
Arius parkii;604946;NA;demersal;Demersal
Arnoglossus laterna;600041;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Arnoglossus thori;600043;NA;demersal;Flatfish
Arrhamphus sclerolepis krefftii;616809;NA;pelagic-neritic;Pelagic
Arripis georgianus;600392;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Arripis trutta;605048;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Arripis truttacea;614606;NA;benthopelagic;Benthopelagic
Artediellus camchaticus;623953;NA;demersal;Demersal
Aspidophoroides monopterygius;604157;NA;demersal;Demersal
Atheresthes evermanni;600518;Large Flatfishes (>=90 cm);demersal;Flatfish
Atherina boyeri;601696;Small Demersals (<30 cm);demersal;Demersal
Atherina presbyter;600045;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Atractoscion nobilis;603578;Large Demersals (>=90 cm);demersal;Demersal
Atrobucca nibe;600941;Medium Demersals (30 - 90 cm);demersal;Demersal
Austroglossus pectoralis;600528;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Auxis rochei;600093;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Auxis thazard;600094;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Bairdiella chrysoura;601165;NA;demersal;Demersal
Bajacalifornia burragei;605200;NA;bathypelagic;Bathypelagic
Balistes capriscus;607327;Medium Benthopelagics (30 - 90 cm);reef-associated;Benthopelagic
Balistes polylepis;604276;NA;reef-associated;Reef
Balistes vetula;600019;NA;reef-associated;Reef
Bathyagonus nigripinnis;604161;NA;demersal;Demersal
Bathypterois dubius;609133;NA;bathydemersal;Bathydemersal
Bathyraja interrupta;602559;NA;bathydemersal;Ray
Bathysolea profundicola;608840;NA;bathypelagic;Flatfish
Bellator gymnostethus;614179;NA;demersal;Demersal
Belone belone;600047;Medium Pelagics (30 - 90 cm);pelagic-oceanic;Pelagic
Belone euxini;667051;NA;pelagic-oceanic;Pelagic
Benthosema glaciale;600021;NA;pelagic-oceanic;Pelagic
Benthosema suborbitale;606589;NA;bathypelagic;Bathypelagic
Beryx splendens;601320;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Boleophthalmus pectinirostris;615864;NA;demersal;Demersal
Boops boops;600203;Medium Demersals (30 - 90 cm);demersal;Demersal
Boreogadus saida;600319;Medium Demersals (30 - 90 cm);demersal;Demersal
Borostomias panamensis;605161;NA;bathypelagic;Bathypelagic
Bothus podas;600207;NA;demersal;Flatfish
Bovichtus diacanthus;659309;NA;demersal;Demersal
Brama japonica;603555;NA;pelagic-oceanic;Pelagic
Branchiostegus argentatus;604594;NA;demersal;Demersal
Branchiostegus auratus;604595;NA;demersal;Demersal
Branchiostegus japonicus;604593;NA;demersal;Demersal
Brevoortia patronus;601589;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Buglossidium luteum;600053;NA;demersal;Flatfish
Calamus nodosus;601226;NA;reef-associated;Reef
Calamus proridens;601229;NA;reef-associated;Reef
Callionymus belcheri;604697;NA;demersal;Demersal
Callorhinchus capensis;600167;Large Rays (>=90 cm);demersal;Ray
Calotomus japonicus;604356;NA;reef-associated;Reef
Capros aper;600054;Medium Demersals (30 - 90 cm);demersal;Demersal
Carangoides chrysophrys;604441;NA;reef-associated;Reef
Carangoides ferdau;601921;NA;reef-associated;Reef
Caranx caballus;601900;NA;pelagic-neritic;Pelagic
Caranx caninus;601901;NA;pelagic-oceanic;Pelagic
Caranx ignobilis;601895;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Caranx melampygus;601906;NA;reef-associated;Reef
Caranx rhonchus;601899;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Caranx ruber;601918;NA;reef-associated;Reef
Carcharhinus acronotus;600857;NA;reef-associated;Shark
Carcharhinus brevipinna;600865;NA;reef-associated;Shark
Carcharhinus falciformis;600868;Large Sharks (>=90 cm);reef-associated;Shark
Carcharhinus isodon;600872;NA;demersal;Shark
Carcharhinus limbatus;600874;Large Sharks (>=90 cm);reef-associated;Shark
Carcharhinus sorrah;600884;Large Sharks (>=90 cm);reef-associated;Shark
Careproctus zachirus;651484;NA;bathydemersal;Bathydemersal
Carlarius heudelotii;604928;NA;demersal;Demersal
Cataetyx alleni;608177;NA;bathydemersal;Bathydemersal
Caulolatilus affinis;608276;NA;demersal;Demersal
Caulolatilus microps;600987;NA;demersal;Demersal
Centracanthus cirrus;601704;NA;benthopelagic;Benthopelagic
Centrolabrus exoletus;600055;NA;reef-associated;Reef
Cephalopholis fulva;608816;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Cephalopholis taeniops;604936;NA;demersal;Demersal
Cepola macrophthalma;600056;Medium Demersals (30 - 90 cm);demersal;Demersal
Cetoscarus ocellatus;666097;NA;reef-associated;Reef
Chaenocephalus aceratus;600473;Medium Demersals (30 - 90 cm);demersal;Demersal
Chaetodipterus faber;601024;NA;reef-associated;Reef
Chaetodon baronessa;605558;NA;reef-associated;Reef
Chaetodon citrinellus;605561;NA;reef-associated;Reef
Chaetodon miliaris;605136;NA;reef-associated;Reef
Chaetodon trifascialis;605578;NA;reef-associated;Reef
Champsocephalus gunnari;600474;Medium Pelagics (30 - 90 cm);pelagic-oceanic;Pelagic
Cheimerius nufar;600444;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Chelidonichthys capensis;605504;Medium Demersals (30 - 90 cm);demersal;Demersal
Chelidonichthys cuculus;600044;Medium Demersals (30 - 90 cm);demersal;Demersal
Chelidonichthys kumu;600507;Medium Demersals (30 - 90 cm);demersal;Demersal
Chelidonichthys lucerna;601366;Medium Demersals (30 - 90 cm);demersal;Demersal
Chelidonichthys queketti;607948;NA;demersal;Demersal
Chelon labrosus;602499;Medium Demersals (30 - 90 cm);demersal;Demersal
Chiloscyllium plagiosum;605120;NA;reef-associated;Shark
Chimaera monstrosa;602503;Large Rays (>=90 cm);bathydemersal;Ray
Chlorophthalmus agassizi;601808;NA;bathydemersal;Bathydemersal
Chloroscombrus chrysurus;600385;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Chlorurus microrhinos;660479;NA;reef-associated;Reef
Chlorurus sordidus;605556;NA;reef-associated;Reef
Chlorurus spilurus;666478;NA;reef-associated;Reef
Choerodon schoenleinii;606433;NA;reef-associated;Reef
Chromis chromis;601706;Small Reef assoc fish (<30 cm);reef-associated;Reef
Chrysoblephus laticeps;605529;NA;demersal;Demersal
Citharus linguatula;604943;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Cleisthenes herzensteini;608560;NA;demersal;Flatfish
Clidoderma asperrimum;608838;NA;demersal;Flatfish
Clinocottus globiceps;604059;NA;demersal;Demersal
Clupea harengus;600024;Medium Pelagics (30 - 90 cm);benthopelagic;Pelagic
Clupea pallasii suworowi;647570;NA;pelagic-neritic;Pelagic
Cnidoglanis macrocephalus;612092;NA;demersal;Demersal
Coelorinchus caelorhincus;601726;NA;benthopelagic;Benthopelagic
Coelorinchus labiatus;608456;NA;bathydemersal;Bathydemersal
Coelorinchus mediterraneus;659766;NA;bathydemersal;Bathydemersal
Coilia mystus;600629;NA;pelagic-neritic;Pelagic
Coilia nasus;600630;NA;pelagic-neritic;Pelagic
Colistium guntheri;612955;NA;demersal;Flatfish
Colistium nudipinnis;612958;NA;demersal;Flatfish
Cololabis saira;600303;Medium Pelagics (30 - 90 cm);pelagic-oceanic;Pelagic
Conger conger;600301;Large Demersals (>=90 cm);demersal;Demersal
Coregonus albula;600231;Medium Pelagics (30 - 90 cm);benthopelagic;Pelagic
Coregonus autumnalis;602669;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Coregonus lavaretus;600232;Medium Demersals (30 - 90 cm);demersal;Demersal
Coregonus maraena;648236;NA;demersal;Demersal
Coregonus peled;604687;NA;demersal;Demersal
Coregonus pidschian;602676;NA;demersal;Demersal
Coregonus sardinella;602678;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Coregonus ussuriensis;612548;NA;benthopelagic;Benthopelagic
Coris auricularis;625769;NA;reef-associated;Reef
Coris julis;600058;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Coryphaena equiselis;600007;NA;pelagic-oceanic;Pelagic
Coryphaena hippurus;600006;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Coryphaenoides acrolepis;608467;NA;bathydemersal;Bathydemersal
Coryphaenoides cinereus;608473;NA;bathydemersal;Bathydemersal
Coryphaenoides guentheri;608176;NA;bathydemersal;Bathydemersal
Coryphaenoides mediterraneus;608175;NA;bathypelagic;Bathypelagic
Coryphaenoides rupestris;600332;Medium Bathypelagics (30 - 90 cm);bathypelagic;Bathypelagic
Crystallogobius linearis;600060;NA;demersal;Demersal
Ctenochaetus striatus;601262;NA;reef-associated;Reef
Cubiceps caeruleus;608397;NA;pelagic-oceanic;Pelagic
Cyclopsetta querna;613954;NA;demersal;Flatfish
Cyclopterus lumpus;600062;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Cynoglossus canariensis;604948;NA;demersal;Flatfish
Cynoglossus robustus;613073;NA;demersal;Flatfish
Cynoscion arenarius;601170;NA;demersal;Demersal
Cynoscion guatucupa;652918;NA;benthopelagic;Benthopelagic
Cynoscion leiarchus;601173;NA;demersal;Demersal
Cynoscion nebulosus;600405;Large Demersals (>=90 cm);demersal;Demersal
Cynoscion othonopterus;614026;NA;benthopelagic;Benthopelagic
Cynoscion regalis;600406;Large Demersals (>=90 cm);demersal;Demersal
Cynoscion stolzmanni;611002;NA;demersal;Demersal
Dasyatis pastinaca;602060;Small to Medium Rays (<90 cm);demersal;Ray
Dasyatis sabina;602574;NA;demersal;Ray
Dasycottus setiger;604085;NA;demersal;Demersal
Deania calcea;600670;Large Sharks (>=90 cm);bathydemersal;Shark
Decapterus punctatus;600994;NA;reef-associated;Reef
Decapterus russelli;600374;Medium Pelagics (30 - 90 cm);benthopelagic;Pelagic
Deltentosteus quadrimaculatus;616282;NA;demersal;Demersal
Dentex angolensis;600440;Medium Demersals (30 - 90 cm);demersal;Demersal
Dentex congoensis;604641;Medium Demersals (30 - 90 cm);demersal;Demersal
Dentex dentex;600439;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Dentex gibbosus;604536;NA;benthopelagic;Benthopelagic
Dentex macrophthalmus;600438;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Dentex maroccanus;604538;Medium Demersals (30 - 90 cm);demersal;Demersal
Dentex tumifrons;604710;NA;demersal;Demersal
Diagramma pictum;604465;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Diaphus dumerilii;606590;NA;pelagic-oceanic;Pelagic
Dicentrarchus labrax;600063;Large Demersals (>=90 cm);demersal;Demersal
Dicentrarchus punctatus;600394;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Diplodus annularis;601752;Small Benthopelagics (<30 cm);benthopelagic;Benthopelagic
Diplodus capensis;606004;NA;reef-associated;Reef
Diplodus cervinus;602497;Medium Benthopelagics (30 - 90 cm);reef-associated;Benthopelagic
Diplodus puntazzo;601749;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Diplodus sargus cadenati;608066;NA;reef-associated;Reef
Diplodus sargus sargus;601753;Medium Demersals (30 - 90 cm);demersal;Demersal
Diplodus vulgaris;601754;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Dipturus batis;602058;Large Rays (>=90 cm);demersal;Ray
Dipturus innominatus;613145;NA;demersal;Ray
Dipturus laevis;602561;Large Rays (>=90 cm);demersal;Ray
Dipturus oxyrinchus;607616;Large Rays (>=90 cm);bathydemersal;Ray
Dipturus pullopunctatus;607960;NA;demersal;Ray
Dipturus trachyderma;650858;NA;bathydemersal;Ray
Dissostichus eleginoides;600467;Large Bathydemersals (>=90 cm);pelagic-oceanic;Bathydemersal
Dissostichus mawsoni;607039;Large Benthopelagics (>=90 cm);pelagic-oceanic;Benthopelagic
Drepane punctata;600454;NA;reef-associated;Reef
Dules auriga;612931;NA;benthopelagic;Benthopelagic
Electrona antarctica;606984;NA;demersal;Demersal
Electrona carlsbergi;606985;NA;bathypelagic;Bathypelagic
Electrona risso;601714;NA;bathypelagic;Bathypelagic
Eleginops maclovinus;600466;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Elops saurus;600175;Medium Pelagics (30 - 90 cm);reef-associated;Pelagic
Emmelichthys nitidus nitidus;600395;Medium Bathydemersals (30 - 90 cm);bathydemersal;Bathydemersal
Encrasicholina devisi;600555;NA;reef-associated;Reef
Encrasicholina heteroloba;600556;NA;reef-associated;Reef
Encrasicholina purpurea;600559;NA;pelagic-neritic;Pelagic
Engraulis anchoita;601659;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Engraulis encrasicolus;600066;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Engraulis japonicus;601663;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Engraulis mordax;601664;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Engraulis ringens;600004;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Eopsetta grigorjewi;608842;NA;demersal;Flatfish
Epinephelides armatus;615101;NA;reef-associated;Reef
Epinephelus adscensionis;600014;NA;demersal;Demersal
Epinephelus aeneus;600426;Large Demersals (>=90 cm);demersal;Demersal
Epinephelus areolatus;605367;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Epinephelus caninus;609217;NA;demersal;Demersal
Epinephelus chlorostigma;605524;NA;reef-associated;Reef
Epinephelus coioides;606465;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Epinephelus costae;609224;NA;demersal;Demersal
Epinephelus drummondhayi;601204;NA;demersal;Demersal
Epinephelus fasciatus;605348;NA;reef-associated;Reef
Epinephelus itajara;600016;NA;reef-associated;Reef
Epinephelus labriformis;608196;NA;demersal;Demersal
Epinephelus marginatus;606470;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Epinephelus morio;600017;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Epinephelus polyphekadion;606473;NA;reef-associated;Reef
Epinephelus striatus;600018;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Epinephelus tauvina;604461;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Equulites klunzingeri;627024;NA;demersal;Demersal
Erilepis zonifer;604031;NA;bathydemersal;Bathydemersal
Erythrocles schlegelii;607693;NA;demersal;Demersal
Etelis carbunculus;600087;NA;benthopelagic;Benthopelagic
Etropus crossotus;604221;NA;demersal;Flatfish
Etrumeus golanii;666829;NA;pelagic-neritic;Pelagic
Etrumeus sadina;601455;NA;pelagic-neritic;Pelagic
Etrumeus whiteheadi;601456;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Eubleekeria splendens;604454;NA;demersal;Demersal
Eucinostomus gula;601050;NA;reef-associated;Reef
Eugerres brasilianus;607533;NA;demersal;Demersal
Eugerres plumieri;601053;NA;demersal;Demersal
Euthynnus affinis;600096;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Euthynnus alletteratus;600097;Large Pelagics (>=90 cm);reef-associated;Pelagic
Eutrigla gurnardus;600068;Medium Demersals (30 - 90 cm);demersal;Demersal
Forsterygion lapillum;612940;NA;benthopelagic;Benthopelagic
Forsterygion varium;646992;NA;benthopelagic;Benthopelagic
Furgaleus macki;605924;NA;demersal;Shark
Gadiculus argenteus;601875;NA;pelagic-oceanic;Pelagic
Gadiculus thori;600025;NA;pelagic-oceanic;Pelagic
Gadus macrocephalus;600308;Large Demersals (>=90 cm);demersal;Demersal
Gadus morhua;600069;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Gaidropsarus guttatus;608427;NA;demersal;Demersal
Galeocerdo cuvier;600886;Large Sharks (>=90 cm);benthopelagic;Shark
Galeoides decadactylus;600341;Medium Demersals (30 - 90 cm);demersal;Demersal
Galeorhinus galeus;604642;Large Sharks (>=90 cm);benthopelagic;Shark
Gasterosteus aculeatus;602420;NA;benthopelagic;Benthopelagic
Genidens barbus;613992;NA;demersal;Demersal
Genypterus capensis;600485;Large Bathydemersals (>=90 cm);bathydemersal;Bathydemersal
Gerres cinereus;601054;NA;reef-associated;Reef
Gerres longirostris;607699;NA;reef-associated;Reef
Girella punctata;606537;NA;reef-associated;Reef
Girella tricuspidata;608173;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Glaucosoma buergeri;610793;NA;benthopelagic;Benthopelagic
Glaucosoma hebraicum;614956;NA;reef-associated;Reef
Glyptocephalus cynoglossus;600026;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Glyptocephalus stelleri;608843;NA;demersal;Flatfish
Glyptocephalus zachirus;604238;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Gnathanodon speciosus;604464;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Gobius niger;600072;Small Demersals (<30 cm);demersal;Demersal
Gobius vittatus;646337;NA;demersal;Demersal
