Name;SpecCode;SAU_functional_group;DemersPelag_fishbase;Func_group
Pleuragramma antarctica;600472;Small Pelagics (<30 cm);pelagic-oceanic;Pelagic
Pleurogrammus monopterygius;604037;Medium Demersals (30 - 90 cm);demersal;Demersal
Pleuronectes platessa;601342;Large Flatfishes (>=90 cm);demersal;Flatfish
Pleuronectes quadrituberculatus;604250;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Pleuronichthys cornutus;608551;NA;demersal;Flatfish
Plicofollis dussumieri;601287;NA;demersal;Demersal
Plicofollis tenuispinis;601297;NA;demersal;Demersal
Pollachius virens;601343;Large Demersals (>=90 cm);demersal;Demersal
Polydactylus multiradiatus;604492;NA;demersal;Demersal
Polymixia yuri;652809;NA;bathydemersal;Bathydemersal
Polyprion oxygeneios;600350;Large Demersals (>=90 cm);demersal;Demersal
Polysteganus undulosus;604542;NA;reef-associated;Reef
Pomacanthus imperator;606504;NA;reef-associated;Reef
Pomacanthus maculosus;607903;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Pomacentrus moluccensis;605724;NA;reef-associated;Reef
Pomacentrus wardi;610281;NA;reef-associated;Reef
Pomadasys incisus;605003;Medium Demersals (30 - 90 cm);demersal;Demersal
Pomadasys maculatus;604447;NA;reef-associated;Reef
Pomadasys striatus;607301;NA;benthopelagic;Benthopelagic
Pomatomus saltatrix;600364;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Pomatoschistus lozanoi;609190;NA;demersal;Demersal
Pomatoschistus minutus;601345;NA;demersal;Demersal
Pontinus kuhlii;605007;Medium Bathydemersals (30 - 90 cm);bathydemersal;Bathydemersal
Poromitra crassiceps;605117;NA;bathypelagic;Bathypelagic
Priacanthus macracanthus;600356;Small Reef assoc fish (<30 cm);reef-associated;Reef
Prionace glauca;600898;Large Sharks (>=90 cm);pelagic-oceanic;Shark
Prionotus albirostris;614256;NA;reef-associated;Reef
Prionotus evolans;601244;NA;reef-associated;Reef
Prionotus punctatus;601245;NA;demersal;Demersal
Prionotus stephanophrys;604029;NA;demersal;Demersal
Pristipomoides filamentosus;600201;NA;benthopelagic;Benthopelagic
Pristipomoides multidens;600208;NA;demersal;Demersal
Pristipomoides typus;600210;NA;demersal;Demersal
Pristis perotteti;651176;NA;benthopelagic;Ray
Pronotogrammus martinicensis;603328;NA;demersal;Demersal
Protonibea diacanthus;604571;NA;demersal;Demersal
Protosalanx hyalocranius;612236;NA;demersal;Demersal
Prototroctes maraena;606199;NA;demersal;Demersal
Psettodes erumei;600513;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Pseudochaenichthys georgianus;600475;Medium Demersals (30 - 90 cm);demersal;Demersal
Pseudophycis bachus;602020;Large Demersals (>=90 cm);demersal;Demersal
Pseudopleuronectes americanus;600524;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Pseudopleuronectes herzensteini;608556;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Pseudopleuronectes yokohamae;608170;NA;demersal;Flatfish
Pseudotolithus elongatus;600433;Medium Demersals (30 - 90 cm);demersal;Demersal
Pseudotolithus senegalensis;600432;Large Demersals (>=90 cm);demersal;Demersal
Pseudotolithus typus;604550;NA;demersal;Demersal
Pseudupeneus maculatus;601094;NA;reef-associated;Reef
Pterogymnus laniarius;600448;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Pterois volitans;605195;NA;reef-associated;Reef
Rachycentron canadum;603542;Large Pelagics (>=90 cm);reef-associated;Pelagic
Raja asterias;608924;Small to Medium Rays (<90 cm);demersal;Ray
Raja brachyura;604552;Large Rays (>=90 cm);demersal;Ray
Raja clavata;602059;Large Rays (>=90 cm);demersal;Ray
Raja eglanteria;601252;NA;demersal;Ray
Raja miraletus;605014;NA;demersal;Ray
Raja montagui;604329;Small to Medium Rays (<90 cm);demersal;Ray
Raja polystigma;609283;NA;demersal;Ray
Raja rhina;602566;NA;bathydemersal;Ray
Raja texana;601254;NA;demersal;Ray
Raja undulata;607617;Large Rays (>=90 cm);demersal;Ray
Rastrelliger brachysoma;600109;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Rastrelliger kanagurta;600111;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Reinhardtius hippoglossoides;600516;Small to Medium Flatfishes (<90 cm);benthopelagic;Flatfish
Rexea solandri;608490;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Rhabdamia gracilis;605747;NA;reef-associated;Reef
Rhabdosargus sarba;605368;NA;reef-associated;Reef
Rhincodon typus;602081;NA;pelagic-oceanic;Shark
Rhinobatos annulatus;605509;NA;demersal;Ray
Rhinobatos cemiculus;602074;NA;demersal;Ray
Rhinobatos rhinobatos;605016;NA;demersal;Ray
Rhinogobius giurinus;615825;NA;demersal;Demersal
Rhizoprionodon taylori;600904;NA;pelagic-oceanic;Shark
Rhizoprionodon terraenovae;600905;NA;demersal;Shark
Rhomboplites aurorubens;600213;Medium Demersals (30 - 90 cm);demersal;Demersal
Rhombosolea leporina;612949;NA;demersal;Flatfish
Rhombosolea plebeia;612950;NA;demersal;Flatfish
Rhombosolea tapirina;608889;NA;demersal;Flatfish
Salmo salar;600236;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Salmo trutta;600238;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Salvelinus fontinalis;600246;NA;demersal;Demersal
Sarda lineolata;604796;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Sarda orientalis;600114;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Sarda sarda;600115;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Sardina pilchardus;601350;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Sardinella aurita;601043;Medium Pelagics (30 - 90 cm);reef-associated;Pelagic
Sardinella brasiliensis;601505;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Sardinella longiceps;601511;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Sardinella maderensis;601047;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Sardinella sindensis;601517;NA;pelagic-neritic;Pelagic
Sardinella zunasi;601519;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Sardinops sagax;601477;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Sargocentron diadema;604699;NA;reef-associated;Reef
Sarpa salpa;600204;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Saurida elongata;604764;NA;demersal;Demersal
Saurida tumbil;606479;Medium Demersals (30 - 90 cm);reef-associated;Demersal
Saurida undosquamis;601055;Medium Demersals (30 - 90 cm);reef-associated;Demersal
Scarus frenatus;605546;NA;reef-associated;Reef
Scarus ghobban;605548;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Scarus niger;605550;NA;reef-associated;Reef
Scarus psittacus;605553;NA;reef-associated;Reef
Scarus rubroviolaceus;605555;NA;reef-associated;Reef
Scarus schlegeli;604975;NA;reef-associated;Reef
Sciaena umbra;601707;Medium Demersals (30 - 90 cm);demersal;Demersal
Sciaenops ocellatus;601191;Large Demersals (>=90 cm);demersal;Demersal
Scolopsis taeniata;605889;Small Reef assoc fish (<30 cm);reef-associated;Reef
Scomber australasicus;600116;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomber colias;654736;NA;pelagic-neritic;Pelagic
Scomber japonicus;600117;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomber scombrus;600118;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomberesox saurus;601084;Medium Pelagics (30 - 90 cm);pelagic-oceanic;Pelagic
Scomberomorus brasiliensis;600119;Large Pelagics (>=90 cm);reef-associated;Pelagic
Scomberomorus cavalla;600120;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Scomberomorus commerson;600121;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Scomberomorus guttatus;600123;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomberomorus lineolatus;600125;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomberomorus maculatus;600126;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Scomberomorus munroi;600129;NA;pelagic-neritic;Pelagic
Scomberomorus plurilineatus;600132;NA;pelagic-neritic;Pelagic
Scomberomorus queenslandicus;600133;NA;pelagic-neritic;Pelagic
Scomberomorus semifasciatus;600135;NA;pelagic-neritic;Pelagic
Scombrops boops;610360;NA;benthopelagic;Benthopelagic
Scombrops gilberti;610369;NA;benthopelagic;Benthopelagic
Scophthalmus maximus;601348;Large Flatfishes (>=90 cm);demersal;Flatfish
Scophthalmus rhombus;600529;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Scorpaena cardinalis;646983;NA;reef-associated;Reef
Scorpaena guttata;603943;NA;demersal;Demersal
Scorpaena loppei;617259;NA;demersal;Demersal
Scorpaena maderensis;610185;NA;demersal;Demersal
Scorpaena notata;601760;NA;demersal;Demersal
Scorpaena porcus;601758;Medium Demersals (30 - 90 cm);demersal;Demersal
Scorpaena scrofa;601759;Medium Demersals (30 - 90 cm);demersal;Demersal
Scorpis aequipinnis;614390;NA;demersal;Demersal
Scorpis lineolata;627504;NA;reef-associated;Reef
Scyliorhinus canicula;600845;Large Sharks (>=90 cm);demersal;Shark
Sebastes aleutianus;603949;NA;bathydemersal;Bathydemersal
Sebastes alutus;600504;Medium Demersals (30 - 90 cm);bathydemersal;Demersal
Sebastes borealis;603954;NA;bathydemersal;Bathydemersal
Sebastes brevispinis;603955;NA;demersal;Demersal
Sebastes constellatus;603961;NA;reef-associated;Reef
Sebastes emphaeus;603966;NA;reef-associated;Reef
Sebastes fasciatus;603969;NA;demersal;Demersal
Sebastes flavidus;600503;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Sebastes goodei;603971;Medium Demersals (30 - 90 cm);demersal;Demersal
Sebastes inermis;604586;NA;demersal;Demersal
Sebastes jordani;603974;NA;demersal;Demersal
Sebastes levis;603976;NA;bathydemersal;Bathydemersal
Sebastes melanops;603979;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Sebastes mentella;600505;Medium Bathypelagics (30 - 90 cm);bathypelagic;Bathypelagic
Sebastes mystinus;603983;NA;reef-associated;Reef
Sebastes norvegicus;600501;Large Benthopelagics (>=90 cm);pelagic-oceanic;Benthopelagic
Sebastes paucispinis;603987;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Sebastes pinniger;603989;Medium Reef assoc fish (30 - 90 cm);demersal;Reef
Sebastes polyspinis;603990;NA;demersal;Demersal
Sebastes proriger;603991;NA;bathydemersal;Bathydemersal
Sebastes semicinctus;604001;NA;demersal;Demersal
Sebastes steindachneri;613053;NA;demersal;Demersal
Sebastes variabilis;663583;NA;demersal;Demersal
Sebastes variegatus;604006;NA;demersal;Demersal
Sebastes zacentrus;604008;NA;bathydemersal;Bathydemersal
Sebastiscus marmoratus;604597;NA;demersal;Demersal
Sebastolobus altivelis;604010;NA;bathydemersal;Bathydemersal
Seriola dumerili;601005;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Seriola lalandi;600382;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Seriola quinqueradiata;600381;NA;demersal;Demersal
Seriolella punctata;612922;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Serranus atricauda;614418;NA;demersal;Demersal
Serranus cabrilla;601353;Medium Bathydemersals (30 - 90 cm);demersal;Bathydemersal
Serranus hepatus;614419;NA;demersal;Demersal
Serranus scriba;601761;NA;demersal;Demersal
Siganus canaliculatus;604456;NA;reef-associated;Reef
Siganus guttatus;604588;NA;reef-associated;Reef
Siganus luridus;604613;NA;reef-associated;Reef
Siganus rivulatus;604545;NA;reef-associated;Reef
Siganus spinus;604457;NA;reef-associated;Reef
Siganus sutor;604615;NA;reef-associated;Reef
Siganus vermiculatus;604561;NA;reef-associated;Reef
Sillaginodes punctatus;608489;NA;demersal;Demersal
Sillaginopsis panijus;600402;NA;demersal;Demersal
Sillago analis;608492;NA;demersal;Demersal
Sillago bassensis;608498;NA;demersal;Demersal
Sillago burrus;608505;NA;demersal;Demersal
Sillago ciliata;604709;NA;demersal;Demersal
Sillago robusta;608535;NA;demersal;Demersal
Sillago schomburgkii;607972;NA;demersal;Demersal
Sillago sihama;604544;Medium Demersals (30 - 90 cm);reef-associated;Demersal
Sillago vittata;608538;NA;demersal;Demersal
Solea aegyptiaca;611707;NA;demersal;Flatfish
Solea solea;600525;Small to Medium Flatfishes (<90 cm);demersal;Flatfish
Sparisoma cretense;613025;Medium Reef assoc fish (30 - 90 cm);reef-associated;Reef
Sparisoma frondosum;661101;NA;reef-associated;Reef
Sparisoma viride;601161;NA;reef-associated;Reef
Sparodon durbanensis;605383;NA;demersal;Demersal
Sparus aurata;601164;Medium Demersals (30 - 90 cm);demersal;Demersal
Sphyraena argentea;603678;NA;pelagic-neritic;Pelagic
Sphyraena chrysotaenia;616905;NA;pelagic-neritic;Pelagic
Sphyraena flavicauda;607937;NA;reef-associated;Reef
Sphyraena jello;604827;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Sphyraena viridensis;610202;NA;pelagic-neritic;Pelagic
Sphyrna lewini;600912;Large Sharks (>=90 cm);pelagic-oceanic;Shark
Sphyrna tiburo;600915;NA;reef-associated;Shark
Spicara maena;604887;Small Demersals (<30 cm);pelagic-neritic;Demersal
Spicara smaris;601766;Small Demersals (<30 cm);pelagic-oceanic;Demersal
Spirinchus thaleichthys;602698;NA;benthopelagic;Benthopelagic
Spondyliosoma cantharus;601356;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Spratelloides delicatulus;601457;NA;reef-associated;Reef
Spratelloides lewisi;601459;NA;pelagic-neritic;Pelagic
Sprattus fuegensis;601466;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Sprattus sprattus;601357;Small Pelagics (<30 cm);pelagic-neritic;Pelagic
Squalus acanthias;600139;Large Sharks (>=90 cm);benthopelagic;Shark
Squalus blainville;600708;NA;demersal;Shark
Stenobrachius leucopsarus;602737;NA;bathypelagic;Bathypelagic
Stenobrachius nannochir;617406;NA;bathypelagic;Bathypelagic
Stenodus leucichthys;602692;Large Demersals (>=90 cm);demersal;Demersal
Stephanolepis hispidus;604281;NA;reef-associated;Reef
Stolephorus carpentariae;600564;NA;pelagic-neritic;Pelagic
Stolephorus commersonnii;600566;NA;pelagic-neritic;Pelagic
Stolephorus insularis;600571;NA;reef-associated;Reef
Stolephorus nelsoni;600574;NA;pelagic-neritic;Pelagic
Symphodus cinereus;601791;NA;demersal;Demersal
Symphodus melops;600059;Small Reef assoc fish (<30 cm);reef-associated;Reef
Symphodus roissali;601709;NA;reef-associated;Reef
Symphodus rostratus;604580;NA;reef-associated;Reef
Symphodus tinca;601708;NA;reef-associated;Reef
Symphurus plagiusa;601019;NA;demersal;Flatfish
Synapturichthys kleinii;601763;NA;demersal;Flatfish
Synodus myops;602724;NA;reef-associated;Reef
Synodus saurus;601771;NA;demersal;Demersal
Tactostoma macropus;602713;NA;bathypelagic;Bathypelagic
Takifugu rubripes;608198;NA;demersal;Demersal
Tanakius kitaharae;608558;NA;demersal;Flatfish
Tautoga onitis;600458;Large Reef assoc fish (>=90 cm);reef-associated;Reef
Tenualosa reevesii;601598;NA;pelagic-neritic;Pelagic
Thaleichthys pacificus;600256;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Theragra chalcogramma;600318;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Thorogobius ephippiatus;607689;NA;demersal;Demersal
Thryssa aestuaria;600581;NA;pelagic-neritic;Pelagic
Thryssa hamiltonii;600589;NA;pelagic-neritic;Pelagic
Thryssa setirostris;600599;NA;pelagic-neritic;Pelagic
Thunnus alalunga;600142;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus albacares;600143;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus atlanticus;600144;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus obesus;600146;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus orientalis;614290;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus thynnus;600147;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Thunnus tonggol;600148;Large Pelagics (>=90 cm);pelagic-neritic;Pelagic
Thyrsites atun;600489;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Torpedo californica;602552;NA;demersal;Ray
Trachinotus falcatus;601010;NA;reef-associated;Reef
Trachipterus arcticus;603265;NA;bathypelagic;Bathypelagic
Trachurus capensis;605382;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Trachurus declivis;600372;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Trachurus indicus;601982;NA;reef-associated;Reef
Trachurus japonicus;600366;Medium Demersals (30 - 90 cm);pelagic-neritic;Demersal
Trachurus lathami;600369;Medium Benthopelagics (30 - 90 cm);reef-associated;Benthopelagic
Trachurus mediterraneus;601278;Medium Pelagics (30 - 90 cm);pelagic-oceanic;Pelagic
Trachurus trachurus;601365;Medium Pelagics (30 - 90 cm);pelagic-neritic;Pelagic
Trachyrincus scabrus;604556;Medium Bathypelagics (30 - 90 cm);bathydemersal;Bathypelagic
Trematomus bernacchii;607053;NA;demersal;Demersal
Trematomus eulepidotus;607054;Medium Demersals (30 - 90 cm);demersal;Demersal
Trematomus hansoni;607055;Medium Demersals (30 - 90 cm);demersal;Demersal
Trematomus lepidorhinus;607056;NA;bathydemersal;Bathydemersal
Trematomus loennbergii;607057;NA;bathydemersal;Bathydemersal
Trematomus newnesi;607058;NA;demersal;Demersal
Trematomus nicolai;607059;NA;demersal;Demersal
Trematomus pennellii;607060;NA;demersal;Demersal
Trematomus scotti;607061;NA;demersal;Demersal
Trichiurus lepturus;601288;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Trichiurus nanhaiensis;658409;NA;benthopelagic;Benthopelagic
Trigla lyra;605038;Medium Bathydemersals (30 - 90 cm);bathydemersal;Bathydemersal
Trigloporus lastoviza;605081;Medium Demersals (30 - 90 cm);demersal;Demersal
Triglops forficatus;604144;NA;demersal;Demersal
Triglops pingelii;604148;NA;demersal;Demersal
Triglops scepticus;604149;NA;bathydemersal;Bathydemersal
Trinectes maculatus;604260;NA;demersal;Flatfish
Trisopterus luscus;601367;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Trisopterus minutus;600481;Medium Benthopelagics (30 - 90 cm);benthopelagic;Benthopelagic
Trygonorrhina fasciata;608733;NA;demersal;Ray
Ulvaria subbifurcata;603796;NA;benthopelagic;Benthopelagic
Umbrina canosai;600413;Medium Demersals (30 - 90 cm);demersal;Demersal
Umbrina roncador;603590;NA;demersal;Demersal
Upeneus moluccensis;604444;NA;reef-associated;Reef
Upeneus pori;646375;NA;demersal;Demersal
Uranoscopus scaber;601779;NA;demersal;Demersal
Urolophus paucimaculatus;624002;NA;demersal;Ray
Urophycis brasiliensis;600311;Medium Demersals (30 - 90 cm);demersal;Demersal
Urophycis cirrata;601884;NA;bathydemersal;Bathydemersal
Urophycis mystacea;660494;NA;demersal;Demersal
Urophycis tenuis;600313;Large Demersals (>=90 cm);demersal;Demersal
Verasper moseri;606609;NA;demersal;Flatfish
Verasper variegatus;606607;NA;demersal;Flatfish
Xiphias gladius;600226;Large Pelagics (>=90 cm);pelagic-oceanic;Pelagic
Xyrichtys novacula;604581;NA;reef-associated;Reef
Zaprora silenus;603819;NA;demersal;Demersal
Zearaja chilensis;651636;NA;demersal;Ray
Zearaja nasuta;613144;Large Rays (>=90 cm);demersal;Ray
Zebrasoma flavescens;606018;NA;reef-associated;Reef
Zebrasoma scopas;605951;NA;reef-associated;Reef
Zeus faber;601370;Large Benthopelagics (>=90 cm);benthopelagic;Benthopelagic
Zoarces americanus;600480;Large Demersals (>=90 cm);demersal;Demersal
Zoarces viviparus;600479;Medium Demersals (30 - 90 cm);demersal;Demersal
Alopias pelagicus;605891;NA;pelagic-oceanic;Shark
Bathyraja minispinosa;622564;NA;demersal;Ray
Carcharhinus leucas;600873;NA;reef-associated;Shark
Carcharhinus longimanus;600875;Large Sharks (>=90 cm);pelagic-oceanic;Shark
Carcharhinus obscurus;600878;NA;reef-associated;Shark
Carcharhinus plumbeus;600880;Large Sharks (>=90 cm);benthopelagic;Shark
Loxodon macrorhinus;600894;NA;demersal;Shark
Lamna nasus;600088;Large Sharks (>=90 cm);pelagic-oceanic;Shark
Rhinoptera bonasus;602584;NA;benthopelagic;Ray
Squalus megalops;600711;NA;bathydemersal;Shark
Squalus suckleyi;665869;NA;benthopelagic;Shark
Urolophus halleri;602580;NA;demersal;Ray
